utcTimeMillis,Latitude,Longitude
1717828492000,21.00807006784166,105.8476867333104
1717828493000,21.008048602265138,105.84781706176625
1717828495000,21.00804150688609,105.84783852975804
1717828496000,21.008082304893243,105.84794004523086
1717828497000,21.008154727430338,105.84805363644271
1717828498000,21.0081712126532,105.84812094297084
1717828499000,21.008431914575425,105.84818927907209
1717828500000,21.008328313894257,105.84810676217104
1717828501000,21.008372003712246,105.84815979007985
1717828502000,21.008366491189314,105.84826811156562
1717828503000,21.00834529225672,105.84832787305429
1717828504000,21.008414772719583,105.84839711036327
1717828505000,21.00843383691521,105.84848159170824
1717828506000,21.008452950237555,105.84855926709889
1717828507000,21.008404580576205,105.84885991710239
1717828508000,21.00834146923365,105.84903460697288
1717828509000,21.008420309509713,105.84911068200428
1717828510000,21.008444208770126,105.84910694779163
1717828511000,21.008429736778456,105.84917082815251
1717828512000,21.008462105162774,105.84914856854684
1717828513000,21.00860478104791,105.84919916938553
1717828514000,21.008291035701582,105.84936720061206
1717828516000,21.008338718839195,105.84950965312805
1717828517000,21.008382188197825,105.84961063089894
1717828518000,21.00837989011709,105.84968785517702
1717828519000,21.00843759171103,105.84982075144599
1717828520000,21.00845388220014,105.84991161154724
1717828521000,21.00846117848695,105.8500133751471
1717828522000,21.00848053762916,105.85009319715363
1717828523000,21.008501083840702,105.85018013809812
1717828524000,21.008497209995312,105.85026988261508
1717828525000,21.008498142980358,105.85035840753078
1717828527000,21.008502036840717,105.85042387787455
1717828528000,21.00850743732093,105.85048284072475
1717828529000,21.00852433231666,105.8505257570536
1717828530000,21.00852932599134,105.85055656385491
1717828531000,21.00852838400987,105.85058403639383
1717828532000,21.00853146911476,105.85059818879886
1717828533000,21.008536745392533,105.850612253915
1717828534000,21.008540164533578,105.85062578404165
1717828535000,21.008538863791586,105.85063011786494
1717828536000,21.00854571250926,105.85063119194952
1717828537000,21.008550911229015,105.85062909462043
1717828538000,21.008549483215553,105.8506385045849
1717828540000,21.008522849170852,105.85067093994765
1717828541000,21.008530577785027,105.8506775675679
1717828543000,21.008540064018636,105.85069881859297
1717828544000,21.00854516489658,105.85073857943664
1717828545000,21.00858175333115,105.85075932793521
1717828546000,21.00858235592946,105.8508481948108
1717828547000,21.008582566129437,105.85090362548787
1717828548000,21.008593085772162,105.85095181823293
1717828549000,21.008589344971835,105.85101111164033
1717828550000,21.00857197426353,105.85106307112223
1717828551000,21.00855232356684,105.85110079470431
1717828552000,21.008567054374605,105.85111169934373
1717828553000,21.00855168300986,105.8511970041158
1717828554000,21.008543360815107,105.85123428664544
1717828555000,21.00854636917247,105.85128310733569
1717828557000,21.008467942735603,105.85132310291041
1717828558000,21.008349106489682,105.85135501260706
1717828559000,21.00838589111373,105.85137117980604
1717828560000,21.00816652030545,105.85133900687188
1717828561000,21.007944030868643,105.85138082540617
1717828562000,21.00791345295293,105.85142272509377
1717828563000,21.00788169484504,105.85140778919431
1717828564000,21.007820651108748,105.8514247600221
1717828566000,21.00775650093255,105.85141063002345
1717828567000,21.007600304088356,105.85140199031076
