Latitude,Longitude,utcTimeMillis,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,MagnetometerX,MagnetometerY,MagnetometerZ
21.00844833333333,105.84877333333334,1717828508000,1.6159501,9.831,3.0199502,-0.5185125,-0.70867497,-0.1280125,-32.5125,-9.6,-28.312502
21.00846333333333,105.84885666666666,1717828509000,0.88995004,9.844951,3.20895,-0.2792625,-0.0339625,0.0837375,-36.24375,-16.556252,-23.456251
21.00847666666667,105.84894333333335,1717828510000,1.4290501,9.76395,3.08205,0.36465,-0.0977625,0.0561,-37.612503,-15.6,-22.85625
21.008491666666668,105.84903166666666,1717828511000,2.16195,9.189,1.2229501,0.21779999,-0.1989625,-0.11,-38.2125,-12.900001,-23.5125
21.00850666666667,105.84912166666666,1717828512000,3.0220501,8.68095,1.2280501,0.308,-0.285175,-0.0312125,-38.8875,-12.656251,-22.25625
21.008518333333335,105.84921166666666,1717828513000,1.8870001,9.354,2.4060001,-0.098725,0.069299996,-0.1951125,-39.600002,-13.856251,-20.8875
21.008526666666665,105.849305,1717828514000,-5.5270505,7.52505,9.262951,-0.79048747,-0.71073747,-1.0146124,-39.35625,-13.687501,-21.1875
21.008536666666668,105.84939833333334,1717828515000,1.16805,6.162,7.6830006,-0.073699996,-0.036025,0.2061125,-37.55625,-18.1875,-19.556252
21.00855333333333,105.84949499999999,1717828516000,-0.71805006,5.6010003,7.0860004,0.26345,-0.1148125,-0.086625,-37.256252,-19.743752,-20.212502
21.008568333333333,105.84959166666667,1717828517000,-0.045,3.9970503,6.8560505,-0.0606375,0.421575,0.391325,-38.15625,-19.85625,-21.956251
21.00858,105.84969000000001,1717828518000,0.99105006,7.2109504,6.9430504,0.4907375,0.0022,0.2519,-38.8125,-18.487501,-19.143751
21.008590000000005,105.84978500000001,1717828519000,-0.60495,5.3239503,7.4670005,0.2569875,-0.0669625,0.0741125,-36.65625,-17.04375,-19.2
21.0086,105.84987666666666,1717828520000,-0.51000005,5.8630505,8.502001,-0.100925,0.15125,6.875E-4,-37.0875,-16.3125,-21.54375
21.008609999999997,105.84996666666666,1717828521000,-1.34595,4.533,8.677051,0.1263625,-0.0413875,-0.1313125,-38.34375,-16.143751,-23.04375
21.008615000000002,105.85005333333332,1717828522000,-0.06705,5.4700503,8.49195,0.146025,-0.071225,0.086899996,-37.6875,-12.95625,-21.84375
21.008618333333335,105.85013499999998,1717828523000,0.38700002,5.2180505,7.5649505,0.3135,-0.0424875,0.121,-37.0125,-12.4875,-21.243752
21.008615000000002,105.85020666666667,1717828524000,-0.31305,5.556,8.349,0.093775,-0.14355,-0.034375,-41.04375,-11.64375,-21.35625
21.008609999999997,105.85027333333333,1717828525000,-0.25605002,5.7330003,8.36505,0.1742125,0.069299996,0.00495,-46.55625,-13.44375,-19.2
21.008613333333333,105.85033999999999,1717828526000,-0.9670501,5.5459504,7.76205,0.095975,-0.0616,0.03795,-43.55625,-14.700001,-20.1
21.008613333333333,105.85041166666666,1717828527000,-1.02705,5.81895,7.3980002,0.241725,-0.2585,-0.23773749,-39.487503,-15.656251,-22.3875
