,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvClockBiasMeters,SvClockDriftMetersPerSecond
20,1717218071000,23105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,20,0.0,16431,536489102729686.0,19.0,39.04751586914063,-574.3689408628793,0.15,25,-9041.918840500875,0.0018029760103672,1575420030.0,0,0.0,0.0,0,0.0,1,34.44438552856445,34.047515869140625,0.0,2000000001.0,0.0,2000000001.0,C,307680737438316,GPS,-9.223372013749776e+18,-9.223268310897271e+18,-31089333053958.293,5.696056702,G,G20,2024-06-01 05:01:11+00:00,10,1926565.0080333597,26550245.199397303,1167872.703957595,112280.42460850412,-0.0004089894782739068
21,1717218072000,24105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536490095359135.0,14.0,43.20511245727539,-877.8145262083735,0.15,17,-15559.581332431566,0.0962639827403125,1575420030.0,0,0.0,0.0,0,0.0,1,34.6890754699707,38.20511245727539,0.0,2000000001.0,0.0,2000000001.0,C,307681742417546,GPS,-9.223372012749778e+18,-9.22326830990464e+18,-31089330844569.42,4.197094412,G,G05,2024-06-01 05:01:12+00:00,11,6132601.145592406,23911107.588507738,-9863275.056980764,-52385.27445113585,-0.0004089894782739068
22,1717218072000,24105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,11,0.0,16431,536490100233766.0,24.0,36.473411560058594,-276.6255890708469,0.15,16,-4068.180600746611,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,34.6890754699707,31.47340965270996,0.0,2000000001.0,0.0,2000000001.0,C,307681742417546,GPS,-9.223372012749778e+18,-9.223268309899764e+18,-31089332306136.8,7.195018992,G,G11,2024-06-01 05:01:12+00:00,11,5589148.813355762,19275518.560986772,17447730.527686983,-202532.95075828736,-0.0025902666957327448
23,1717218072000,24105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,20,0.0,16431,536490102731594.0,13.0,43.82279586791992,-574.7907453448056,0.15,25,-9616.4829034938,0.0010404612403362,1575420030.0,0,0.0,0.0,0,0.0,1,34.6890754699707,38.82279586791992,0.0,2000000001.0,0.0,2000000001.0,C,307681742417546,GPS,-9.223372012749778e+18,-9.223268309897267e+18,-31089333054879.258,3.897301954,G,G20,2024-06-01 05:01:12+00:00,11,1926262.1778577124,26550135.19610897,1171019.0276430575,112280.42460850412,-0.0004089894782739068
24,1717218073000,25105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536491095362061.0,19.0,39.45866394042969,-878.3597773478255,0.15,16,-16437.780642055317,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,34.84845352172852,34.45866394042969,0.0,2000000001.0,0.0,2000000001.0,C,307682737715315,GPS,-9.223372011749776e+18,-9.223268308904636e+18,-31089330845490.383,5.696056702,G,G05,2024-06-01 05:01:13+00:00,12,6132346.638599628,23912329.242111526,-9860410.650908967,-52385.27445113585,-0.0004089894782739068
25,1717218073000,25105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,11,0.0,16431,536491100234690.0,19.0,39.57549285888672,-276.30828140061953,0.15,17,-4344.780590651932,0.0968434817978066,1575420030.0,0,0.0,0.0,0,0.0,1,34.84845352172852,34.57549285888672,0.0,2000000001.0,0.0,2000000001.0,C,307682737715315,GPS,-9.223372011749776e+18,-9.223268308899763e+18,-31089332306136.8,5.696056702,G,G11,2024-06-01 05:01:13+00:00,12,5587289.785577426,19274317.629132576,17449649.64359109,-202532.95075828736,-0.0025902666957327448
26,1717218073000,25105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,20,0.0,16431,536491102733513.0,17.0,40.737892150878906,-574.8655222544166,0.15,25,-10191.267675872235,0.001484127365984,1575420030.0,0,0.0,0.0,0,0.0,1,34.84845352172852,35.737892150878906,0.0,2000000001.0,0.0,2000000001.0,C,307682737715315,GPS,-9.223372011749776e+18,-9.223268308897266e+18,-31089333055186.24,5.096471786,G,G20,2024-06-01 05:01:13+00:00,12,1925959.301265914,26550024.81871464,1174165.3266845632,112280.42460850412,-0.0004089894782739068
27,1717218074000,26105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536492095364991.0,21.0,38.06705093383789,-879.1245195072843,0.15,17,-17316.454489857402,0.0971652643411306,1575420030.0,0,0.0,0.0,0,0.0,1,29.691524505615234,33.06705093383789,0.0,2000000001.0,0.0,2000000001.0,C,307683740707122,GPS,-9.223372010749778e+18,-9.223268307904635e+18,-31089330846411.348,6.295641617999999,G,G05,2024-06-01 05:01:14+00:00,13,6132092.212230163,23913550.55254935,-9857546.035538517,-52385.27445113585,-0.0004089894782739068
28,1717218074000,26105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,11,0.0,16431,536492100235618.0,19.0,39.49531936645508,-276.5575093639426,0.15,17,-4621.216045858764,0.0968592147464749,1575420030.0,0,0.0,0.0,0,0.0,1,29.691524505615234,34.49531936645508,0.0,2000000001.0,0.0,2000000001.0,C,307683740707122,GPS,-9.223372010749778e+18,-9.223268307899763e+18,-31089332306443.79,5.696056702,G,G11,2024-06-01 05:01:14+00:00,13,5585430.49395009,19273116.662450764,17451568.389640898,-202532.95075828736,-0.0025902666957327448
29,1717218074000,26105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,20,0.0,16431,536492102735432.0,14.0,42.60682678222656,-574.9249620585924,0.15,16,-10765.470239908742,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,29.691524505615234,37.60682678222656,0.0,2000000001.0,0.0,2000000001.0,C,307683740707122,GPS,-9.223372010749778e+18,-9.223268307897264e+18,-31089333056107.207,4.197094412,G,G20,2024-06-01 05:01:14+00:00,13,1925656.3782114557,26549914.067224447,1177311.6009810308,112280.42460850412,-0.0004089894782739068
