Time,Latitude,Longitude
1717218117000,21.00362308119157,105.84140582863614
1717218118000,21.00361760030927,105.84144958099483
1717218119000,21.00361003212324,105.84149598306854
1717218120000,21.003601719535894,105.84156365472639
1717218121000,21.00358424875601,105.84168520755412
1717218122000,21.00357935327679,105.84174181169783
1717218123000,21.003572309958283,105.84180394817301
1717218124000,21.00356343247352,105.84187067176599
1717218125000,21.003554249889778,105.84193745649742
1717218126000,21.00354559423916,105.84200811615918
1717218127000,21.003538469672733,105.84207777869105
1717218128000,21.00353218040811,105.84214572065137
1717218129000,21.003535027625492,105.84221359656563
1717218130000,21.003531403447358,105.84228016479676
1717218131000,21.00352662445719,105.84235302035167
1717218132000,21.003518876259612,105.84242252174933
1717218133000,21.003507648411176,105.84249635130459
1717218134000,21.003500001672855,105.84257127381835
1717218135000,21.003520338937918,105.84266392076967
1717218136000,21.003538065108426,105.84272852362758
1717218137000,21.003575683492322,105.84274407464747
1717218138000,21.003580401854,105.8428055599014
1717218139000,21.00358711162727,105.84289646185022
1717218140000,21.003593161038253,105.84296538988544
1717218141000,21.003590012141736,105.84304087534026
1717218142000,21.003590774978164,105.84312673725452
1717218143000,21.00358676337971,105.84321691484563
1717218144000,21.00359002939575,105.8432938793341
1717218145000,21.003578892605088,105.84339394096935
1717218146000,21.003555891081845,105.84345921310454
1717218147000,21.003543164302478,105.84353104248996
1717218148000,21.003494110863745,105.8436569174508
1717218149000,21.00347481365284,105.84369150452858
1717218150000,21.0032706214876,105.84378986609448
1717218151000,21.003230141027732,105.8440701918629
1717218152000,21.0032513745694,105.84420432068404
1717218153000,21.003217647100644,105.8441741493689
1717218154000,21.003114841098963,105.84417179493776
1717218155000,21.003153460667782,105.8441762764286
1717218156000,21.00313220321953,105.84417552402196
1717218157000,21.003088233678472,105.84423078996458
1717218158000,21.003066662450788,105.84423953700174
1717218159000,21.003067768429705,105.84423259068085
1717218160000,21.003031612470224,105.84423717225708
1717218161000,21.003016705271843,105.84397265466906
1717218162000,21.003001819904636,105.84399061135575
1717218163000,21.002988524003666,105.84400810555451
1717218164000,21.002976954148888,105.84402535514923
1717218165000,21.002967237552955,105.84404254569782
1717218166000,21.002959492061144,105.84405983043214
1717218167000,21.002861385496686,105.84423141778007
1717218168000,21.00337955849276,105.84438403496974
1717218169000,21.003298274979592,105.84456763355367
1717218170000,21.00314490349093,105.84465560651617
1717218171000,21.003134269665797,105.84470541463821
1717218172000,21.003154403953236,105.84468121903627
1717218173000,21.003001691771562,105.84484735369269
1717218174000,21.002958774158074,105.84481628772615
1717218175000,21.00294926678173,105.84477387285921
1717218176000,21.00294760774382,105.84477512338837
1717218177000,21.00294754745563,105.8447146973539
1717218178000,21.002901622717026,105.84475976710749
1717218179000,21.002860826642557,105.84480908867694
1717218180000,21.002929074674807,105.84479260040753
1717218181000,21.003011048700547,105.84472168389806
1717218182000,21.003055018819623,105.84473704150074
1717218183000,21.003121696444413,105.84473551230388
1717218184000,21.003161764755568,105.84474308808724
1717218185000,21.00319098251998,105.84476154095861
1717218186000,21.00324203218234,105.84477107412557
1717218187000,21.003293988047837,105.8447972540157
1717218188000,21.003350577905383,105.84483314239607
1717218189000,21.00340694996669,105.84486152918463
1717218190000,21.003467660940757,105.84489572373396
1717218191000,21.00353022643581,105.84493462920511
1717218192000,21.003582808443515,105.8449824554657
1717218193000,21.003650400305585,105.84502505788699
1717218194000,21.003699836994297,105.84506392373284
1717218195000,21.00375186007457,105.84511147810679
1717218196000,21.00376905683076,105.84514538373067
1717218197000,21.003807575754898,105.84520442031992
1717218198000,21.00385049552423,105.84527192670845
