utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,,,,,,,
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,4,0,23567,3.10362E+14,46,25,264.0039063,0.813499987,16,0,0,1.58E+09,0,0,0,0,0,6,-0.03,20.7,-1449.259399,17.43949318,0,0,C,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,5,0,23567,3.10362E+14,21,30.9,-158.4525146,0.200000003,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,-0.03,26.6,-1449.259399,17.43949318,0,0,C,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,9,0,23567,3.10362E+14,11,37.6,89.75090027,0.200000003,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,-0.03,33.3,-1449.259399,17.43949318,0,0,C,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,36,0,23567,3.10362E+14,13,36.1,-122.1389084,0.200000003,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,-0.03,31.8,-1449.259399,17.43949318,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,10,0,16399,3.10363E+14,11,37,-469.5072021,0.045699999,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.06,33.4,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,23,0,16399,3.10363E+14,12,36.4,-174.1799927,0.025500001,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.06,32.8,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,24,0,16399,3.10363E+14,24,28.8,600.2003784,0.114999995,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.06,25.2,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,32,0,16399,3.10363E+14,10,37.9,-137.8636169,0.043400001,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.06,34.3,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,196,0,16399,3.10363E+14,14,33.7,-162.9275208,0.069499999,16,0,1902.917734,1.58E+09,0,0,0,0,0,4,-0.06,30.1,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,3,0,49359,6.19453E+13,21,30.6,139.3060608,0.283100009,16,0,1868.065357,1.60E+09,0,0,0,0,0,3,-0.11,26.6,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,4,0,49359,6.19453E+13,16,33.9,-80.78912354,0.2579,16,0,1867.410893,1.61E+09,0,0,0,0,0,3,-0.11,29.9,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,16,0,16399,3.10349E+14,12,36.8,42.21529388,0.036000002,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,32.5,-1530.433472,22.10926247,0,0,I,3.79875E+15
