,Time,Latitude_1,Longitude_1,Altitude,Latitude_2,Longitude_2,Distance
54,1717218109000,21.00397879,105.8413637,6.830744378,21.003758947309304,105.84125718149348,26.82986900492962
55,1717218110000,21.00368475,105.8410822,-114.6102685,21.003734379123618,105.8412570812825,18.974112617663923
56,1717218111000,21.0037281,105.841301,-143.3329118,21.00371145831261,105.84126052777656,4.590762999995725
57,1717218112000,21.00375966,105.8413472,23.85479734,21.003692669623756,105.84127144790102,10.83159301547531
58,1717218113000,21.00380026,105.84129,-41.34551652,21.00367398923727,105.84127926998202,14.084779830443377
59,1717218114000,21.00352098,105.8415833,-15.59799497,21.00365519888489,105.84131666402106,31.44594656409494
60,1717218115000,21.00350826,105.8419456,24.85653657,21.003646514558625,105.84135737959733,62.96684536444115
61,1717218116000,21.00387146,105.8419724,127.0212631,21.00363325184736,105.8413780861593,67.13953111447925
62,1717218117000,21.00315362,105.8416984,38.34992493,21.00362308119157,105.84140582863614,60.3938209319027
63,1717218118000,21.0036231,105.8418763,18.53225838,21.00361760030927,105.84144958099483,44.300593485642175
64,1717218119000,21.00334391,105.8417331,35.58309425,21.00361003212324,105.84149598306854,38.490533250637
65,1717218120000,21.00346701,105.8418508,32.29467713,21.003601719535894,105.8415636547264,33.35968254928927
66,1717218121000,21.00342842,105.8419943,62.41752596,21.00358424875601,105.84168520755412,36.46568001547062
67,1717218122000,21.00358933,105.8417915,0.929785164,21.00357935327679,105.84174181169784,5.275939303589884
68,1717218123000,21.00395109,105.8419925,65.09494029,21.003572309958283,105.841803948173,46.44418132706278
69,1717218124000,21.00388883,105.8424451,86.48492796,21.00356343247352,105.841870671766,69.7485649658053
70,1717218125000,21.00332389,105.841781,52.37571977,21.003554249889778,105.84193745649742,30.329850549303693
71,1717218126000,21.00354543,105.8420127,36.5844947,21.00354559423916,105.84200811615918,0.476184822954179
72,1717218127000,21.00317405,105.8421814,-127.5113681,21.003538469672733,105.84207777869103,41.92501120150628
73,1717218128000,21.00319529,105.8419496,-148.4645102,21.00353218040811,105.84214572065136,42.63527220428502
74,1717218129000,21.0038756,105.8423586,-4.110241287,21.00353502762549,105.84221359656564,40.75173617423701
75,1717218130000,21.00382202,105.8428509,52.02079408,21.00353140344736,105.84228016479676,67.48614520374423
76,1717218131000,21.00362349,105.8424964,-53.94210518,21.00352662445719,105.84235302035168,18.37228913135884
77,1717218132000,21.00367059,105.8428865,-7.176535586,21.00351887625961,105.84242252174931,51.03307896134338
78,1717218133000,21.00333262,105.8427697,-25.67337121,21.003507648411176,105.8424963513046,34.40857303912104
79,1717218134000,21.00355451,105.8424822,51.96515529,21.00350000167285,105.84257127381836,11.055937082779701
80,1717218135000,21.00377367,105.8425913,42.07825985,21.00352033893792,105.84266392076968,29.16040686100968
81,1717218136000,21.00414328,105.8424403,-126.4752222,21.003538065108422,105.84272852362758,73.6480985864741
82,1717218137000,21.00396385,105.8425754,-149.5376679,21.00357568349232,105.84274407464748,46.57849309645436
83,1717218138000,21.0037936,105.8426485,-120.5029609,21.003580401854,105.8428055599014,28.771818271568424
84,1717218139000,21.00384891,105.8429674,-99.36478101,21.00358711162727,105.84289646185022,30.0275953630585
85,1717218140000,21.00373964,105.8430031,-103.5896108,21.003593161038253,105.84296538988544,16.751524843489634
86,1717218141000,21.0035049,105.8430163,54.19523689,21.003590012141736,105.84304087534026,9.801840980638937
87,1717218142000,21.00373485,105.843226,51.12864899,21.003590774978164,105.84312673725452,19.04807525513066
88,1717218143000,21.00353312,105.8436004,45.79430494,21.00358676337971,105.84321691484564,40.25282291611668
89,1717218144000,21.00336935,105.8440111,168.2879833,21.00359002939575,105.8432938793341,78.3920383220638
90,1717218145000,21.00321511,105.8437001,121.335747,21.003578892605088,105.84339394096936,51.442463653372585
91,1717218146000,21.00373949,105.8437725,1.967007902,21.003555891081845,105.84345921310454,38.39817980108736
92,1717218147000,21.00298525,105.8440283,59.57979722,21.00354316430248,105.84353104248996,80.70395117686574
93,1717218148000,21.00293239,105.8443557,262.2744056,21.003494110863745,105.8436569174508,95.72444662355726
94,1717218149000,21.00301506,105.8437305,78.89280792,21.00347481365284,105.84369150452858,51.28228976343583
95,1717218150000,21.00307908,105.8442505,73.50531578,21.0032706214876,105.84378986609448,52.3459658715126
96,1717218151000,21.00353436,105.8444996,-58.36874036,21.00323014102773,105.8440701918629,55.957935277812865
97,1717218152000,21.0029326,105.8436044,71.94804071,21.0032513745694,105.84420432068404,71.65711560900054
98,1717218153000,21.00277394,105.8438162,97.59719364,21.003217647100644,105.8441741493689,61.76516565554056
99,1717218154000,21.00333155,105.8439626,22.98613876,21.003114841098963,105.84417179493776,32.438307885469435
100,1717218155000,21.0032017,105.8441213,4.943618857,21.003153460667782,105.8441762764286,7.8320769801213785
101,1717218156000,21.00306631,105.8444098,39.93428907,21.00313220321953,105.84417552402196,25.399312850608947
102,1717218157000,21.00321309,105.8440002,-154.1224159,21.003088233678472,105.84423078996458,27.671714621455493
103,1717218158000,21.00326438,105.8440903,-161.4962407,21.003066662450788,105.84423953700174,26.895106107763016
104,1717218159000,21.00334027,105.8440179,224.3748254,21.003067768429705,105.84423259068085,37.61413479009733
105,1717218160000,21.00276664,105.8443443,14.7305636,21.003031612470224,105.84423717225708,31.492416278806452
106,1717218161000,21.00370134,105.8440795,-150.2019217,21.003016705271843,105.84397265466906,76.931628005482
107,1717218162000,21.00305507,105.84495,183.9201747,21.00300181990464,105.84399061135576,99.7674086248496
108,1717218163000,21.00302127,105.8446575,34.126109,21.002988524003666,105.84400810555452,67.51016110295411
109,1717218164000,21.00308951,105.844915,111.7406372,21.002976954148888,105.84402535514924,93.1958386462187
110,1717218165000,21.00323716,105.8444992,-122.67334,21.002967237552955,105.84404254569782,56.10688348824615
111,1717218166000,21.00273856,105.845244,119.8691944,21.002959492061144,105.84405983043214,125.35635527733271
112,1717218167000,21.0026975,105.8446409,120.9656713,21.002861385496686,105.84423141778008,46.24887173361854
113,1717218168000,21.00291177,105.8443883,40.9275585,21.00337955849276,105.84438403496974,52.017591337185166
114,1717218169000,21.00296779,105.8446106,36.24181822,21.003298274979592,105.84456763355368,37.01793800539631
115,1717218170000,21.00255202,105.8447384,73.09294032,21.00314490349093,105.84465560651616,66.48350395235055
116,1717218171000,21.00265824,105.8447856,67.9735929,21.0031342696658,105.8447054146382,53.58256893358172
117,1717218172000,21.00267726,105.8447626,49.93964162,21.00315440395324,105.84468121903627,53.724347466743744
118,1717218173000,21.00325854,105.8443889,10.32756633,21.00300169177156,105.84484735369269,55.50289323106274
119,1717218174000,21.00321921,105.84449,-5.987980065,21.002958774158078,105.84481628772616,44.56320240127646
120,1717218175000,21.00325546,105.8447869,-6.868339619,21.00294926678173,105.8447738728592,34.073977966650666
121,1717218176000,21.00346508,105.8449439,3.321187139,21.00294760774382,105.84477512338836,60.14850918942459
122,1717218177000,21.00328912,105.8447737,-12.07280421,21.00294754745563,105.8447146973539,38.47182036698152
123,1717218178000,21.00312556,105.8449962,36.09166465,21.002901622717022,105.84475976710748,34.963208038092155
124,1717218179000,21.00332307,105.8449237,-4.127738975,21.00286082664256,105.84480908867694,52.75812113340004
125,1717218180000,21.00334652,105.8448426,95.65623121,21.002929074674807,105.84479260040752,46.707084924260386
126,1717218181000,21.00344443,105.8450707,-19.28941631,21.003011048700547,105.84472168389806,60.29010518599058
127,1717218182000,21.00365448,105.8449448,-28.10051755,21.003055018819623,105.84473704150074,70.05917632122502
128,1717218183000,21.003577,105.8452344,128.9896945,21.003121696444413,105.84473551230388,72.42335818785126
129,1717218184000,21.00360924,105.844975,-28.18009087,21.003161764755568,105.84474308808724,55.27493705356748
130,1717218185000,21.00353137,105.8452466,64.9467748,21.00319098251998,105.8447615409586,62.99169915591989
131,1717218186000,21.00394562,105.8449165,-61.05152409,21.00324203218234,105.84477107412556,79.67855869926629
132,1717218187000,21.00349984,105.8451793,167.8438735,21.00329398804784,105.8447972540157,45.79060410440981
133,1717218188000,21.00317743,105.8455519,203.5544127,21.003350577905383,105.84483314239608,77.05621487936162
134,1717218189000,21.00350941,105.8449717,156.4613256,21.00340694996669,105.84486152918464,16.142950324598935
135,1717218190000,21.00360761,105.845267,176.7726146,21.00346766094076,105.84489572373396,41.56413286614977
136,1717218191000,21.00351309,105.8457438,175.2675388,21.00353022643581,105.84493462920511,84.01916854846253
137,1717218192000,21.00396658,105.8450931,143.6422815,21.003582808443515,105.8449824554657,44.19212108419922
138,1717218193000,21.00389693,105.8455346,140.4107388,21.003650400305585,105.845025057887,59.57543074116345
139,1717218194000,21.0040567,105.8451321,130.0995472,21.003699836994297,105.84506392373284,40.30751916997176
140,1717218195000,21.00356152,105.8457599,179.6618743,21.00375186007457,105.8451114781068,70.5597163356022
141,1717218196000,21.00409011,105.845069,138.9513566,21.00376905683076,105.84514538373068,36.56944635578655
142,1717218197000,21.00396919,105.8455599,153.2754907,21.003807575754895,105.84520442031992,41.04439164002266
143,1717218198000,21.00387619,105.846024,143.5712872,21.00385049552423,105.84527192670843,78.12252380823523
144,1717218199000,21.00428368,105.8454615,118.7135486,21.003891119470616,105.84532183253452,45.99555013746397
145,1717218200000,21.00430763,105.8457501,119.2981517,21.00393698389292,105.84538016355216,56.331971625780426
146,1717218201000,21.00448051,105.8459593,-99.78816806,21.00398591227099,105.84542799753532,77.8874569152034
147,1717218202000,21.00449185,105.8454354,113.9589209,21.00400804892428,105.84548558847064,54.047911712309194
148,1717218203000,21.00418423,105.8458367,132.7775075,21.00402699640476,105.84548158738046,40.798988705268606
149,1717218204000,21.00461996,105.8458557,49.2172705,21.004052298727643,105.845515321203,72.33756446502268
150,1717218205000,21.00470555,105.8456933,70.40203711,21.00410985609289,105.84558478843265,67.18908527382168
151,1717218206000,21.00474126,105.8458018,29.89559205,21.00418672663363,105.84560723093172,64.884931768179
152,1717218207000,21.00497806,105.8457223,-18.65419952,21.004257387834507,105.84564498361382,80.53600319694733
153,1717218208000,21.00471487,105.8460618,113.0996243,21.00430965972854,105.845674357895,60.39639163513306
154,1717218209000,21.00501104,105.8454628,-15.4379038,21.004484305361885,105.84547373655076,58.5812211235571
155,1717218210000,21.0048813,105.8459081,53.7383161,21.004404003373217,105.84561464375736,61.19401661781075
156,1717218211000,21.00467004,105.8459535,-35.63121976,21.00439821380329,105.84574210710826,37.35140564022306
157,1717218212000,21.00462974,105.8461856,11.70424177,21.004465854367695,105.84575844862609,47.93964275696563
158,1717218213000,21.00525709,105.8456713,-127.121247,21.00453823264108,105.84576701710112,80.54846578562116
159,1717218214000,21.00512443,105.8455395,-59.61259648,21.004649755017965,105.84574841349742,57.062988798729386
160,1717218215000,21.00488032,105.8458262,-46.92389112,21.00467298969556,105.84578191995976,23.50784273519309
161,1717218216000,21.00483029,105.8457532,-91.18335298,21.004735242324585,105.84576007607582,10.592894836488789
162,1717218217000,21.00486296,105.8462477,24.56618598,21.00478609589695,105.84577691887876,49.611686636911884
163,1717218218000,21.00535183,105.8460955,128.627328,21.0048335942716,105.8458106228624,64.77005572797057
164,1717218219000,21.00489293,105.8460082,-26.37077122,21.00484784747536,105.84585174410304,16.997111619881736
165,1717218220000,21.00486526,105.8460303,-14.21709944,21.004875362146443,105.84584036334698,19.74854093201557
166,1717218221000,21.00459518,105.8462705,-32.20469292,21.00490031426847,105.84585568580005,54.82141745214336
167,1717218222000,21.00458833,105.8462433,-16.23461695,21.004905388137978,105.84587345067172,52.12414262421892
168,1717218223000,21.00471711,105.8462671,159.1537318,21.00490058414493,105.84591044443732,42.271977880895605
169,1717218224000,21.00466458,105.846362,-20.78720845,21.004870307383808,105.84598858578002,45.00942946552068
170,1717218225000,21.00459722,105.8462657,-6.424859185,21.004888271226346,105.84603551689534,40.2285206771069
171,1717218226000,21.00483243,105.8464171,-26.92130615,21.00490595401612,105.8460685949388,37.089197195895274
172,1717218227000,21.00483519,105.8461403,-13.45646505,21.00490711943664,105.84612031547466,8.262846154089846
173,1717218228000,21.0047206,105.84654,2.378104022,21.00489851267181,105.84616777434375,43.40922101594727
174,1717218229000,21.00480724,105.8469732,122.8953051,21.00489797352956,105.84621651835631,79.19341548568741
175,1717218230000,21.0050356,105.8464599,-17.9616006,21.004906179754904,105.84627041437425,24.372028224096987
176,1717218231000,21.00496664,105.8468638,-22.15220933,21.00490400476202,105.84631943051332,56.93638874539922
177,1717218232000,21.00476714,105.8467244,18.9941801,21.004882267588226,105.84636153957882,39.78306223218745
178,1717218233000,21.00494791,105.846965,-3.096257361,21.004876626343613,105.84641119499862,58.032141580438804
179,1717218234000,21.0052189,105.847096,73.85381753,21.004863255217387,105.84644984575182,77.8645169006306
180,1717218235000,21.00486228,105.8469854,-68.72380173,21.0048528584059,105.84650561809444,49.815271328971775
181,1717218236000,21.00454242,105.8466777,-164.6908891,21.004851333780515,105.84655644032117,36.583374080532224
182,1717218237000,21.00518288,105.8470338,-60.88239812,21.00484782530758,105.84660051671916,58.403781664521446
183,1717218238000,21.00517767,105.8471467,110.2919906,21.00483796109173,105.8466525125902,63.70647555913793
184,1717218239000,21.00516525,105.8473409,100.7481659,21.004834706954217,105.84669913708149,76.08529870584609
185,1717218240000,21.00450975,105.8468781,-130.4802333,21.004832529292585,105.8467442235585,38.48800012269262
186,1717218241000,21.00450269,105.8472724,-74.70552954,21.004823659848693,105.8467798157157,62.35707278474092
187,1717218242000,21.0048651,105.8469668,-112.3249005,21.00481080516241,105.84681707724629,16.673536289634683
188,1717218243000,21.00503892,105.8470988,30.66240165,21.004802945494077,105.84685164460842,36.69788787161059
189,1717218244000,21.00506598,105.8472502,32.27918972,21.00522463816169,105.8470576255264,26.66184076701927
190,1717218245000,21.00481087,105.8470225,7.233934771,21.0051572479324,105.8470737106748,38.88059794639954
191,1717218246000,21.00482967,105.8474463,69.74655458,21.005161254326502,105.8470993271203,51.54336451625903
192,1717218247000,21.00510354,105.8469322,9.245981875,21.0048591063102,105.84698727460352,27.77455094729065
193,1717218248000,21.00521745,105.8469497,74.42823675,21.00481045936872,105.8469987262264,45.54054966501456
194,1717218249000,21.00517302,105.8472766,87.0497577,21.00482583358465,105.8470336068164,46.11541324191141
195,1717218250000,21.00484873,105.847082,122.2723488,21.00490799170596,105.84706703834888,6.770154403884326
196,1717218251000,21.00534594,105.8471393,88.88246268,21.004957337402026,105.84710983661309,43.31874222767609
197,1717218252000,21.00504072,105.8470692,171.5260407,21.00495559298198,105.84710509917788,10.172831056022806
198,1717218253000,21.00497775,105.8475047,122.4007839,21.00499926455036,105.8471569922503,36.173322728232236
199,1717218254000,21.00514365,105.8473345,113.4873798,21.00502490471507,105.8471542466851,22.90102558241839
200,1717218255000,21.00515899,105.8469683,128.3209297,21.00510118358501,105.84717681713752,22.579530783931308
201,1717218256000,21.00512305,105.8471548,137.0416266,21.005123852502937,105.8471886343216,3.5133336889273736
202,1717218257000,21.00513414,105.8471481,37.92773087,21.00512018626365,105.84718681943544,4.308389033138886
