,utcTimeMillis,Latitude_1,Longitude_1,WKT,Latitude_2,Longitude_2,Distance
40,1717828044000.0,21.004248333333333,105.84543833333332,POINT (105.84535081544895 21.003942651183635),21.003942651183635,105.84535081544897,35.18347254487613
41,1717828045000.0,21.00420833333333,105.84539333333332,POINT (105.84541492766078 21.00388193828695),21.00388193828695,105.84541492766078,36.362633579969646
42,1717828046000.0,21.004171666666668,105.84534666666666,POINT (105.84524333309426 21.00411912999439),21.00411912999439,105.84524333309426,12.214287968966444
43,1717828047000.0,21.004126666666668,105.84529666666668,POINT (105.84512525421226 21.00402559885391),21.00402559885391,105.84512525421226,21.04554409619628
44,1717828048000.0,21.004075,105.84523166666668,POINT (105.84506494853875 21.003849446821523),21.003849446821523,105.84506494853876,30.471923899977497
45,1717828049000.0,21.00402833333333,105.84517166666669,POINT (105.84501866156725 21.003794185415877),21.00379418541588,105.84501866156724,30.498272467874585
46,1717828050000.0,21.003973333333334,105.84508833333332,POINT (105.84501288178961 21.00359382795282),21.00359382795282,105.8450128817896,42.91978514412441
47,1717828051000.0,21.003923333333333,105.84503333333332,POINT (105.84497376983447 21.00355666235554),21.00355666235554,105.84497376983448,41.238123040077674
48,1717828052000.0,21.00387333333333,105.84498833333332,POINT (105.8448651201604 21.003480689279375),21.00348068927937,105.8448651201604,45.49496165677255
49,1717828053000.0,21.00381833333333,105.84494833333336,POINT (105.8447792582273 21.003626534218682),21.00362653421868,105.8447792582273,27.620418634223572
50,1717828054000.0,21.00375333333333,105.84491333333332,POINT (105.84481833467032 21.003552505518627),21.003552505518627,105.84481833467032,24.41156557106061
51,1717828055000.0,21.00369166666667,105.844875,POINT (105.84478770963293 21.003491538224207),21.003491538224207,105.84478770963293,24.027397982256204
52,1717828056000.0,21.00361666666667,105.84483333333334,POINT (105.84475158500078 21.003418708464697),21.003418708464697,105.84475158500078,23.591074983920723
53,1717828057000.0,21.003545,105.84480833333332,POINT (105.84471458357389 21.003345178170527),21.003345178170527,105.84471458357388,24.256982737867677
54,1717828058000.0,21.003476666666664,105.84478666666668,POINT (105.84469379451417 21.003279115214795),21.003279115214795,105.84469379451416,23.989195182977905
55,1717828059000.0,21.003406666666667,105.84476666666666,POINT (105.84478506178624 21.003201508388727),21.003201508388727,105.84478506178624,22.892340149024335
56,1717828060000.0,21.00333666666667,105.84474666666668,POINT (105.84457198038052 21.003256506531205),21.003256506531205,105.84457198038052,20.205915700028445
57,1717828061000.0,21.00326833333333,105.84473166666666,POINT (105.84447663734036 21.003176148996896),21.003176148996896,105.84447663734036,28.389033125627673
58,1717828063000.0,21.003136666666663,105.84471833333332,POINT (105.84457425401209 21.00304028446809),21.00304028446809,105.84457425401207,18.399861369198483
59,1717828064000.0,21.003065,105.84471,POINT (105.84457372277672 21.002975581853637),21.00297558185364,105.84457372277672,17.29120109683057
60,1717828066000.0,21.002911666666662,105.84470166666668,POINT (105.8449086203263 21.00302603821594),21.00302603821594,105.8449086203263,24.965342035692945
61,1717828067000.0,21.00284333333333,105.84471333333336,POINT (105.84501903036355 21.002932702415155),21.002932702415155,105.84501903036356,33.253178920167215
62,1717828068000.0,21.00277833333333,105.84472333333332,POINT (105.84498974131321 21.00281802619537),21.00281802619537,105.8449897413132,28.005121040801434
63,1717828069000.0,21.002713333333336,105.84474,POINT (105.84499585515961 21.002761442818443),21.002761442818443,105.8449958551596,27.093068486262926
64,1717828070000.0,21.002651666666665,105.84475666666668,POINT (105.84480943830086 21.002571118238325),21.002571118238325,105.84480943830086,10.499038148339514
65,1717828071000.0,21.00258833333333,105.844765,POINT (105.84500387300888 21.002552517946945),21.002552517946945,105.84500387300888,25.11460556963437
66,1717828072000.0,21.002525,105.84477166666666,POINT (105.84501171191356 21.00250393252557),21.00250393252557,105.84501171191356,25.028406669371186
67,1717828073000.0,21.002461666666665,105.84477833333334,POINT (105.84490734747497 21.00255306843585),21.00255306843585,105.84490734747496,16.812442225485057
