,t_k,x_k,y_k,z_k
212,-75311.631961261,-41653998.003482506,78776046.68120599,252012124.3999815
213,-75311.62529855399,-120091600.2884204,161152663.2624578,142473014.36961484
214,-75310.625197794,-72942876.22134216,-179973580.38745067,-161823544.2556925
215,-75310.62837613499,8789496.995433675,-10766403.58089257,-269930078.0135482
216,-75310.63518833299,-91302308.15143047,-220075255.57675105,7994428.701292371
217,-75310.634642108,109270307.01922357,4799341.636426406,236739514.18353105
218,-75310.62918281699,-147512981.2200096,185374782.69408846,-58415614.23008968
219,-75310.63196252499,-41653322.50728127,78774718.88161284,252008920.59628808
220,-75310.625298687,-120090020.47267817,161150324.32448876,142471396.27304548
221,-75309.62519834799,-72941911.00515431,-179971441.59616372,-161821168.06916457
222,-75309.62837392499,8789226.736018818,-10766561.958456108,-269926518.2871153
223,-75309.63519066099,-91300972.64662685,-220072412.8585688,7994628.747971705
224,-75309.63464306599,109268568.22196604,4799336.467516563,236736539.26749575
225,-75309.62918127599,-147511189.90104493,185372327.77525872,-58414544.169618085
226,-75309.631963879,-41652647.01114085,78773391.08214016,252005716.7928812
227,-75309.62529887099,-120088440.65701838,161147985.38663992,142469778.1765577
228,-75308.625198953,-72940945.78901757,-179969302.8049849,-161818791.88275883
229,-75308.62837162899,8788956.47657886,-10766720.336032331,-269922958.56037533
230,-75308.635193015,-91299637.14185888,-220069570.1404605,7994828.794643044
231,-75308.634644234,109266829.42506997,4799331.298607806,236733564.35208613
232,-75308.629179723,-147509398.58206248,185369872.85639957,-58413474.10913366
233,-75308.631965368,-41651971.51509161,78772063.28284767,252002512.9899049
234,-75308.625299009,-120086860.84128778,161145646.44868445,142468160.0799946
235,-75307.62519962099,-72939980.57294346,-179967164.01393992,-161816415.6965036
236,-75307.628369396,8788686.217154067,-10766878.713597646,-269919398.8338588
237,-75307.63519529099,-91298301.63698766,-220066727.42213038,7995028.841327195
238,-75307.634645245,109265090.62789716,4799326.1296982365,236730589.43621033
239,-75307.62917816399,-147507607.263073,185367417.93752566,-58412404.0486428
240,-75307.631966577,-41651296.01885323,78770735.4831843,251999309.1860297
241,-75307.625299144,-120085281.0255543,161143307.5107229,142466541.98342565
242,-75306.62520020899,-72939015.35679403,-179965025.2227229,-161814039.5100593
243,-75306.62836713399,8788415.95771957,-10767037.091166627,-269915839.107238
244,-75306.63519748699,-91296966.13201053,-220063884.7035729,7995228.888024552
245,-75306.63464635599,109263351.83089447,4799320.960789184,236727614.52063295
246,-75306.629176616,-147505815.94410697,185364963.01867878,-58411333.988163725
247,-75306.62529922799,-120083701.2097421,161140968.57264295,142464923.88677326
248,-75305.625200817,-72938050.14066577,-179962886.43154773,-161811663.32366344
249,-75305.628364847,8788145.698276455,-10767195.46873863,-269912279.38052726
250,-75305.63519974999,-91295630.62712382,-220061041.98520586,7995428.934705714
251,-75305.63464738999,109261613.03375421,4799315.791879734,236724639.6048275
252,-75305.62917505999,-147504024.62513036,185362508.09981224,-58410263.92767608
253,-75305.625299364,-120082121.39401394,161138629.63468558,142463305.7902041
254,-75304.62520151799,-72937084.92462912,-179960747.6405705,-161809287.1374895
255,-75304.628362622,8787875.438848233,-10767353.846299887,-269908719.65403634
256,-75304.635202052,-91294295.12229015,-220058199.26694974,7995628.981376279
257,-75304.634648501,109259874.23674412,4799310.622970682,236721664.68925202
258,-75304.62917354399,-147502233.30622905,185360053.1810439,-58409193.867231235
259,-75304.63197093099,-41649269.53062919,78766752.08516511,251989697.77672207
260,-75304.62529949,-120080541.57827182,161136290.69670576,142461687.69361785
261,-75303.62520194199,-72936119.70832698,-179958608.84899992,-161806910.95065826
262,-75303.628360402,8787605.1794195,-10767512.223859418,-269905159.9275623
263,-75303.63520444499,-91292959.61757891,-220055356.54895225,7995829.028025848
264,-75303.634649562,109258135.43964334,4799305.45406137,236718689.7735287
265,-75303.629171939,-147500441.98717213,185357598.26205707,-58408123.80669117
266,-75303.631972313,-41648594.03450768,78765424.28573519,251986493.9733937
267,-75303.625299518,-120078961.76237676,161133951.75849766,142460069.59687206
268,-75302.625202696,-72935154.49234523,-179956470.05813423,-161804534.7646121
269,-75302.62835814999,8787334.919980252,-10767670.60142309,-269901600.20097333
270,-75302.63520673799,-91291624.11273506,-220052513.8306705,7996029.0746926265
271,-75302.634650653,109256396.64259101,4799300.2851522155,236715714.85789558
272,-75302.629170416,-147498650.66826576,185355143.34327155,-58407053.74623884
273,-75302.625299789,-120077381.94686745,161131612.82085884,142458451.50051856
274,-75301.625203326,-72934189.27624564,-179954331.26700237,-161802158.57827222
275,-75301.628355792,8787064.6605105,-10767828.979002614,-269898040.47400624
276,-75301.635209067,-91290288.60794023,-220049671.11249113,7996229.121349407
