utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,GpsWeekNum,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond
1717828003000,455856440000000,18,0.0,-1401407364970240298,-0.628,48.31314436160028,0.1601622489613766,12.18094940686684,517.0,25,0.0,16399,541621333097261.0,31,27.2,47.53535842895508,0.6859999895095825,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.03,23.6,0.0,0.0,0.0,0.0,C,1167767917271835,GPS,1401863221410240291.222,1401863221333097216,23126912.138482275676,9.293566198,G,G25,2317,2024-06-08 06:26:43+00:00,2,16300244.830009535,18814752.05800859,9286385.910568992,279.2303091913077,1218.507166143218,-2830.0248633439123,149004.89644778578,0.0001704122826140279
1717828003000,455856440000000,18,0.0,-1401407364970240298,-0.628,48.31314436160028,0.1601622489613766,12.18094940686684,517.0,29,0.0,16399,541621328107475.0,61,22.0,-655.5426635742188,1.0084999799728394,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.03,18.4,0.0,0.0,0.0,0.0,C,1167767917271835,GPS,1401863221410240291.222,1401863221328107520,24622785.366995043676,18.287339938,G,G29,2317,2024-06-08 06:26:43+00:00,2,12909933.517375458,7799419.694759817,21815148.858453926,-1769.0096507577985,2142.681422385348,268.4500860655784,-178428.75559176708,0.0004771543913185587
1717828004000,455857440000000,18,0.0,-1401407364970240306,-0.630,47.78906804858707,-0.6352251945920652,14.172103193767663,517.0,05,0.0,16399,541622340976984.0,13,35.4,-57.66677474975586,0.0249000005424022,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,-1.42,31.8,0.0,0.0,0.0,0.0,C,1167768917271843,GPS,1401863222410240291.222,1401863222340976896,20764643.503028835676,3.897301954,G,G05,2317,2024-06-08 06:26:44+00:00,3,3549679.8784798505,23681130.70385698,11214507.062820032,-862.0610820069076,-1190.7029989784298,2751.4743732486436,-52632.50913582519,-0.0004089894782739068
1717828004000,455857440000000,18,0.0,-1401407364970240306,-0.630,47.78906804858707,-0.6352251945920652,14.172103193767663,517.0,11,0.0,16399,541622337153184.0,80,19.6,39.01020050048828,2.032000064849853,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.42,16.0,0.0,0.0,0.0,0.0,C,1167768917271843,GPS,1401863222410240291.222,1401863222337153280,21910934.742116963676,23.983396640,G,G11,2317,2024-06-08 06:26:44+00:00,3,-10995183.990712631,12753135.361127522,20550210.373152215,-2563.4488300077837,-466.6657153573266,-1088.4048768052526,-204091.0457996354,-0.002522101782688093
1717828004000,455857440000000,18,0.0,-1401407364970240306,-0.630,47.78906804858707,-0.6352251945920652,14.172103193767663,517.0,12,0.0,16399,541622335700025.0,9,38.6,285.5010681152344,0.0443000011146068,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,-1.42,35.0,0.0,0.0,0.0,0.0,C,1167768917271843,GPS,1401863222410240291.222,1401863222335699968,22346626.718837859676,2.698132122,G,G12,2317,2024-06-08 06:26:44+00:00,3,10026127.615567995,24583708.0733148,1129372.7287139469,-193.58991150963863,261.26150038786346,-3172.1006597698793,-153573.50305364578,-0.0009543087826401152
1717828004000,455857440000000,18,0.0,-1401407364970240306,-0.630,47.78906804858707,-0.6352251945920652,14.172103193767663,517.0,13,0.0,16399,541622336464425.0,70,21.4,-576.3519287109375,1.8504999876022337,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.42,17.799999999999997,0.0,0.0,0.0,0.0,C,1167768917271843,GPS,1401863222410240291.222,1401863222336464384,22117460.567263331676,20.985472060,G,G13,2317,2024-06-08 06:26:44+00:00,3,-11934331.42170826,21757294.72943458,-9338936.06976206,-974.7026829016766,676.4032779867455,2908.797242135767,196784.849034806,0.0007838965000254878
1717828004000,455857440000000,18,0.0,-1401407364970240306,-0.630,47.78906804858707,-0.6352251945920652,14.172103193767663,517.0,19,0.0,16399,541622334109934.0,61,22.2,575.5146484375,1.0175000429153442,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.42,18.6,0.0,0.0,0.0,0.0,C,1167768917271843,GPS,1401863222410240291.222,1401863222334109952,22823301.523737187676,18.287339938,G,G19,2317,2024-06-08 06:26:44+00:00,3,-20216120.942964554,15406712.671337081,-7133922.347497152,386.2842599904711,-849.0154547362898,-3041.243155403847,147911.67520680247,0.0016018754565733013
1717828004000,455857440000000,18,0.0,-1401407364970240306,-0.630,47.78906804858707,-0.6352251945920652,14.172103193767663,517.0,20,0.0,16399,541622340565897.0,14,33.7,217.08740234375,0.0260000005364418,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,-1.42,30.1,0.0,0.0,0.0,0.0,C,1167768917271843,GPS,1401863222410240291.222,1401863222340566016,20887822.228171875676,4.197094412,G,G20,2317,2024-06-08 06:26:44+00:00,3,-3279745.5797631694,18654184.70484913,18741459.353945676,-1458.968199696052,-1865.2584286870406,1591.9329351840584,112142.91689271489,-0.00013632982609110243
1717828004000,455857440000000,18,0.0,-1401407364970240306,-0.630,47.78906804858707,-0.6352251945920652,14.172103193767663,517.0,25,0.0,16399,541622333097158.0,27,28.1,48.972076416015625,0.6360000371932983,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.42,24.5,0.0,0.0,0.0,0.0,C,1167768917271843,GPS,1401863222410240291.222,1401863222333097216,23126912.138482275676,8.094396366,G,G25,2317,2024-06-08 06:26:44+00:00,3,16300523.983333528,18815970.47393194,9283555.694262635,279.1482610605716,1218.1666447498171,-2830.2222206957103,149004.89644778578,0.0001704122826140279
1717828004000,455857440000000,18,0.0,-1401407364970240306,-0.630,47.78906804858707,-0.6352251945920652,14.172103193767663,517.0,29,0.0,16399,541622328109631.0,35,26.2,-655.3333740234375,0.7384999990463257,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.42,22.6,0.0,0.0,0.0,0.0,C,1167768917271843,GPS,1401863222410240291.222,1401863222328109568,24622171.392041059676,10.492736030,G,G29,2317,2024-06-08 06:26:44+00:00,3,12908164.49333269,7801562.53070271,21815417.083332475,-1768.904253521754,2142.8142702443256,267.98399509235577,-178428.75559176708,0.0004771543913185587
